V1,V2
X,121538816
X,125341952
X,126380032
X,125331456
X,125363456
X,126465024
X,126519552
X,120442880
X,121665792
X,125360128
X,121553408
X,126500096
X,120403712
X,121554176
X,142787072
X,120490496
X,125319936
X,120472320
X,121581568
X,121623040
X,174219008
X,121506816
X,125387264
X,125357824
X,121640448
X,126609408
X,125233408
X,121553408
X,121575680
X,126444032
X,121561600
X,125332992
X,126427904
X,121563904
X,126472704
X,120407808
X,125443328
X,125370624
X,121559040
X,125367552
X,120399872
X,125310208
X,120413440
X,120430592
X,126509056
X,120418816
X,121579776
X,121614848
X,121571840
X,125369344
X,172387840
X,126455040
X,125312000
X,120390912
X,125399040
X,121517824
X,120459776
X,125380352
X,126533376
X,176506624
X,120445696
X,120355584
X,121675264
X,125278720
X,125280512
X,121578240
X,125427968
X,125470208
X,122186240
X,125307904
X,126445824
X,150657536
X,220945408
X,152010240
X,227031040
X,220932096
X,181428480
X,224476416
X,223314176
X,227094528
X,245069824
X,208089344
X,220914944
X,220217856
X,250995200
X,220913408
X,222505216
X,246208256
X,179429632
X,225981696
X,225891328
X,220951040
X,250966272
X,244995328
X,225491712
X,220959488
X,256863488
X,251154688
X,225838080
X,225909504
X,200212992
X,257774336
X,234902016
X,258029312
X,221128192
X,258094080
X,233731840
X,249990912
X,249966336
X,249784576
X,230773760
X,221313792
X,231930624
X,226941952
X,249921792
X,233745408
X,251135744
X,250050048
X,227801600
X,260860160
X,231979520
X,251099648
X,255236864
X,232883200
X,261561856
X,238616064
X,232691200
X,251055360
X,257833984
X,236807936
X,225846016
X,254865408
X,232632064
X,227692032
X,232576512
X,369384448
X,233764864
X,257885184
X,180270592
X,245021696
X,256685312
X,260924928
X,272462336
X,345402368
X,257863936
X,257910528
X,249963520
X,256814592
X,238696192
X,208122880
X,364088064
X,257899264
X,233693696
X,184011776
X,220920832
X,260932096
X,233854464
X,235020800
X,345141248
X,256763392
X,249989632
X,258089216
X,250053632
X,225778432
X,236732160
X,233761536
X,251114496
X,256704256
X,250064384
X,260777728
X,260949248
X,258057216
X,319384320
X,228414208
X,236823552
X,251233024
X,244499456
X,256729344
X,230782720
X,313326592
X,231958272
X,225849856
X,266914816
X,178425088
X,265569792
X,260884224
X,317304064
X,230626304
X,220949504
X,250012928
X,251140864
X,238672128
X,311433984
X,232592640
X,200297984
X,227775488
X,225763840
X,261592064
X,225807104
X,232569088
X,225860864
X,251047424
X,232613888
X,231833600
X,180363264
X,230763008
X,316747520
X,312281088
X,236660480
X,257803264
X,236810752
X,339156992
X,230766592
X,339607808
X,250042112
X,238713088
X,231094272
X,256638464
X,239055360
X,236786688
X,184602368
X,265108224
X,249938944
X,257826048
X,225966848
X,310809344
X,245861632
X,232598016
X,310903040
X,288712960
X,240980736
X,240936192
X,314759424
X,261613312
X,337155584
X,316708096
X,256809216
X,185333248
X,258054144
X,261594880
X,225799424
X,262780160
X,232435712
X,257707776
X,258619648
X,310174976
X,255282944
X,319014144
X,257841664
X,238638592
X,314297088
X,265968896
X,230773760
X,257860864
X,313278208
X,272420864
X,268822528
X,261542912
X,237739776
X,230772224
X,308908544
X,310031104
X,260807424
X,267972096
X,260454144
X,254980096
X,233716224
X,249912064
X,254698240
X,232689664
X,339689216
X,294853376
X,231153920
X,300730112
X,273552384
X,304881920
X,230871296
X,270169600
X,239874560
X,314384384
X,318851328
X,254823424
X,230730752
X,230708480
X,308174080
X,320342272
X,269988352
X,238640896
X,242042112
X,230715648
X,268044288
X,268797184
X,240870144
X,251259904
X,184371968
X,179188736
X,344566016
X,257030656
X,227608576
X,240896768
X,315017216
X,304872192
X,269735680
X,268186624
X,240890112
X,294887680
X,181381888
X,310861312
X,263898112
X,189376768
X,318849024
X,231914496
X,268099840
X,345593856
X,182229248
X,268752128
X,318215936
X,238554368
X,313943808
X,291369984
X,268732928
X,240001536
X,238712576
X,257223168
X,268169216
X,268731392
X,256909568
X,307948032
X,320633600
X,231808768
X,227717376
X,254855424
X,313937152
X,293984256
X,267998976
X,255076608
X,232943104
X,245743360
X,401660160
X,232562944
X,261614848
X,340310528
X,333236480
X,239822080
X,260841728
X,225783296
X,233780736
X,254779648
X,294738432
X,233614336
X,239994112
X,232757504
X,245784064
X,237968640
X,293848832
X,368172800
X,265011456
X,294747648
X,261721600
X,315847424
X,230911488
X,236788480
X,257857536
X,316519936
X,231795968
X,268065792
X,315977216
X,327194624
X,250290176
X,290044928
X,239725312
X,290246656
X,341462528
X,303006464
X,286888960
X,306761216
X,315878912
X,312798208
X,225865984
X,230721024
X,225894912
X,275759360
X,318630144
X,306555648
X,242635008
X,257901312
X,257796864
X,316071424
X,322209536
X,258952960
X,241420800
X,238614528
X,307612672
X,257868032
X,248819712
X,317729280
X,309809664
X,339929344
X,268573696
X,239836416
X,286926848
X,236912128
X,316736256
X,283776768
X,293430528
X,269123840
X,349461504
X,240046848
X,275435776
X,340005632
X,245753856
X,315727616
X,316944384
X,312831488
X,319573504
X,316654848
X,326348544
X,239780864
X,239796480
X,237943296
X,238662912
X,225748736
X,275831296
X,315875072
X,294953472
X,293251840
X,261570560
X,368918272
X,316621056
X,315134464
X,297011712
X,333582848
X,336869120
X,334954752
X,292051456
X,267186432
X,237869568
X,242202112
X,335244800
X,227598848
X,339009792
X,257999104
X,269938944
X,316263680
X,251046912
X,254829312
X,348571648
X,234836992
X,342462720
X,343628544
X,233643008
X,325619712
X,246062848
X,230775808
X,237920512
X,340584448
X,238701312
X,361654784
X,311860736
X,341437440
X,261594624
X,237921024
X,284098560
X,261992704
X,262744064
X,313624832
X,324845312
X,366119936
X,384576256
X,250794240
X,261659648
X,372305408
X,250615808
X,345586944
X,267948288
X,315944192
X,233720320
X,262719744
X,336856832
X,275638016
X,344520960
X,342486016
X,230792448
X,240937216
X,239847424
X,261663232
X,287177984
X,232706560
X,261656320
X,262098176
X,268747008
X,315766528
X,366529024
X,287515392
X,295270656
X,347025408
X,301523456
X,345959168
X,250673408
X,238648320
X,239669504
X,347425024
X,332146688
X,292672512
X,261562624
X,275525888
X,261703680
X,257842944
X,313638656
X,373787392
X,266876672
X,400005120
X,290195712
X,268314368
X,344073728
X,313650432
X,258057472
X,287262720
X,256662016
X,311034880
X,300048896
X,245860352
X,230768896
X,401928448
X,249987584
X,268047616
X,339572736
X,335820544
X,340918784
X,231475712
X,403551488
X,373779712
X,254839552
X,245742848
X,267984384
X,342188800
X,239809280
X,321494784
X,347789312
X,339830272
X,286124288
X,420411392
X,245770496
X,323781888
X,269923584
X,319139584
X,361650176
X,368708864
X,315740672
X,352750336
X,231824896
X,376239360
X,245748480
X,313935872
X,293386752
X,262846976
X,293335808
X,233743616
X,335861760
X,316802048
X,262027264
X,338411008
X,240944640
X,344875776
X,402463744
X,232385280
X,254922240
X,344490496
X,333337088
X,240924416
X,316518912
X,471038976
X,237908480
X,254729728
X,322252032
X,335924992
X,306296832
X,250683904
X,313956352
X,237991168
X,384065280
X,248839424
X,312545280
X,343479808
X,376762624
X,292005376
X,401223936
X,402267904
X,338156800
X,318482688
X,348646912
X,324715264
X,232576000
X,323382784
X,372831744
X,343626752
X,261692160
X,454031104
X,248870912
X,305332224
X,248878848
X,318762752
X,257075968
X,333154816
X,271840256
X,345524224
X,321477632
X,366276352
X,347680768
X,237901824
X,262103296
X,269854976
X,290175744
X,233729792
X,316730112
X,238609408
X,347641856
X,324180480
X,339912192
X,245892608
X,325611008
X,293996288
X,307503872
X,247697152
X,402899968
X,298083840
X,258351616
X,313728512
X,399395584
X,341992960
X,337572352
X,271876352
X,243169024
X,396720128
X,316622592
X,314310656
X,341491200
X,433652480
X,315070976
X,353106432
X,248767744
X,245836032
X,339655168
X,313538304
X,217976320
X,286490624
X,430263296
X,238552320
X,298256384
X,339823616
X,362916864
X,399406336
X,323175424
X,262811392
X,290369536
X,367076352
X,327612160
X,389676800
X,317769472
X,341405440
X,253426432
X,320708864
X,248766720
X,317004544
X,341011712
X,341618432
X,316902400
X,237902592
X,332114944
X,343408384
X,180268544
X,308417280
X,257778688
X,227725056
X,348194816
X,341703936
X,268769536
X,268684544
X,270191104
X,321541120
X,293321728
X,237898752
X,431824128
X,238866176
X,321138944
X,388392448
X,293524480
X,238778112
X,238617344
X,292812288
X,366654720
X,257789440
X,368990720
X,365901312
X,283843584
X,336893952
X,241994752
X,269982208
X,366932736
X,318576640
X,397370624
X,259065600
X,374503424
X,345484032
X,284590080
X,238780416
X,320695040
X,415106304
X,399762944
X,341788928
X,332065024
X,358586112
X,277454592
X,287207168
X,319910912
X,361809408
X,290302976
X,341963264
X,395327232
X,316721664
X,366954240
X,281506816
X,320415488
X,450947584
X,326745344
X,412669440
X,305750784
X,346319872
X,361753344
X,268923904
X,313919744
X,269901568
X,295902208
X,297076992
X,447967744
X,331979520
X,268732928
X,415237120
X,344748800
X,366192128
X,369570304
X,381175040
X,326588160
X,343341312
X,395686656
X,430065664
X,268830976
X,395589376
X,335013376
X,317668864
X,368943872
X,299976448
X,248073728
X,343654656
X,320349440
X,312325376
X,256615936
X,379040000
X,246194432
X,343275520
X,324398592
X,292689408
X,305575936
X,357197824
X,328345088
X,344520960
X,315564800
X,447165952
X,312398336
X,254959616
X,321111296
X,265766912
X,245868800
X,277040640
X,326777856
X,448682752
X,362978048
X,254888960
X,377984000
X,339281152
X,345756672
X,245734400
X,358706176
X,286452992
X,248855552
X,392143360
X,346106880
X,268091904
X,316613376
X,348914688
X,303075584
X,238693376
X,238701824
X,327451904
X,336687104
X,349382400
X,367961856
X,338424064
X,405797376
X,340873216
X,369930752
X,323847424
X,314680064
X,311828480
X,386534144
X,237875968
X,302338560
X,262684160
X,268057600
X,344853504
X,245884416
X,314804736
X,360536320
X,317197568
X,428489216
X,368962304
X,352043008
X,248798976
X,265097728
X,323372032
X,369649664
X,386507008
X,407271168
X,347614208
X,448535808
X,338021376
X,339834624
X,329834496
X,238733056
X,268057600
X,309820928
X,316160000
X,295138816
X,421622784
X,369761280
X,298884096
X,318503680
X,337254656
X,241817088
X,374770944
X,286109440
X,432989952
X,298202112
X,367072256
X,329382912
X,324889856
X,262225408
X,322586624
X,325539328
X,271702272
X,363569152
X,239702784
X,315838208
X,238068992
X,324689664
X,350863360
X,284205312
X,273590528
X,227652608
X,257874944
X,328334592
X,289367296
X,379130624
X,312345344
X,366249216
X,238652928
X,352735744
X,466750464
X,245791488
X,327869440
X,298107392
X,314880000
X,319540480
X,373908992
X,453152000
X,239737088
X,225943808
X,394602240
X,393441536
X,452891136
X,342344704
X,344907264
X,339923968
X,341385216
X,338858240
X,433697280
X,248875520
X,382377728
X,369714176
X,315930624
X,457255168
X,265804032
X,262070016
X,335124736
X,344043264
X,395169280
X,348104704
X,325606144
X,363680512
X,307661312
X,377997824
X,367898112
X,373946368
X,342125056
X,307977984
X,232546304
X,305630208
X,312680960
X,376441856
X,348356864
X,319792896
X,367782144
X,240851968
X,265824768
X,305192960
X,273734656
X,346062080
X,385005312
X,237955328
X,323330816
X,413064448
X,352669696
X,318879488
X,389928960
X,553725952
X,396005888
X,267943680
X,501249536
X,262797312
X,350499584
X,373655552
X,401790976
X,295316480
X,363012608
X,342599168
X,290253312
X,341057024
X,301074944
X,385846272
X,233336320
X,345175552
X,411121664
X,395708416
X,395699456
X,295101696
X,378047488
X,248753408
X,321988608
X,349943040
X,420035072
X,403104512
X,328495872
X,362642688
X,353868800
X,256718080
X,240890624
X,344463616
X,306168320
X,361719040
X,433798912
X,361722880
X,284326144
X,350072064
X,375244288
X,319534848
X,268850944
X,314374656
X,389449984
X,363659520
X,311638272
X,323522048
X,357922304
X,441828352
X,347090944
X,370507776
X,349300736
X,397602816
X,372182016
X,322520320
X,426748928
X,314966272
X,349387520
X,363491584
X,361679616
X,345127936
X,429221376
X,422384128
X,339885824
X,409594368
X,269889024
X,316431872
X,256765952
X,444142592
X,353852416
X,362154752
X,257749504
X,238641920
X,368881152
X,299988224
X,227843072
X,439752960
X,241690368
X,348428032
X,350092544
X,500374528
X,429115136
X,256843008
X,338131456
X,348173824
X,275514368
X,304552448
X,379890688
X,527206656
X,237829888
X,248814336
X,262101504
X,528531200
X,312530432
X,507414784
X,342975488
X,336908032
X,301897472
X,366668544
X,422759424
X,397108224
X,329655040
X,232558848
X,316375296
X,475206400
X,498792704
X,368749824
X,426518016
X,345678592
X,322810624
X,484487680
X,369764352
X,342141440
X,268872448
X,512853504
X,370776064
X,339179776
X,302344192
X,317344512
X,373279744
X,248789248
X,374205696
X,312294144
X,336850688
X,320765184
X,399462912
X,348938240
X,339725568
X,444538880
X,414291456
X,372713984
X,268882688
X,328625408
X,295156480
X,351325696
X,508643072
X,250766080
X,370295552
X,289165056
X,295115520
X,444910336
X,331642112
X,402684160
X,315938304
X,358088192
X,363629824
X,412241920
X,353828096
X,317152512
X,281790720
X,304688384
X,283112192
X,373185792
X,364317440
X,425210880
X,400417024
X,384613632
X,281520896
X,237826816
X,301161728
X,405150976
X,368463104
X,351512320
X,248830976
X,373114112
X,237953536
X,365550080
X,268680448
X,371844864
X,346349568
X,368153344
X,295255552
X,316557312
X,401899008
X,233100288
X,338787328
X,383635200
X,238792192
X,268776704
X,365628416
X,249735168
X,369609472
X,379333376
X,350842112
X,269962240
X,239941376
X,349325056
X,333099264
X,351268096
X,352802304
X,406452224
X,426106112
X,434794240
X,345149696
X,337126656
X,424107264
X,336481024
X,342213376
X,399719168
X,361697280
X,309757952
X,317020416
X,290161152
X,366183936
X,392242176
X,235895808
X,295031808
X,312256256
X,261341952
X,315830016
X,338359808
X,313176064
X,394553856
X,341038080
X,346243328
X,369262848
X,369768960
X,312759040
X,401223424
X,371140352
X,390251008
X,348214528
X,302011904
X,348267776
X,327800064
X,346269952
X,345559040
X,330488576
X,471855872
X,320907520
X,369389824
X,332527872
X,179241472
X,309777920
X,407105024
X,214320640
X,320315904
X,328599296
X,330546944
X,262087680
X,311408128
X,280485120
X,375624192
X,320890112
X,318777600
X,395102720
X,298092800
X,239984640
X,374952704
X,238784000
X,346784768
X,343051264
X,290157056
X,268827136
X,430763008
X,341825280
X,315902464
X,321825024
X,379104512
X,354100992
X,326711808
X,323364352
X,366359040
X,258442496
X,402750464
X,311240192
X,347202048
X,404933632
X,410969856
X,370755328
X,355435264
X,242816768
X,344384768
X,292841984
X,240027392
X,347091712
X,260864000
X,337071616
X,417001984
X,348105728
X,269934080
X,269939712
X,274057216
X,232801280
X,321793280
X,273684480
X,262045952
X,239770112
X,270036224
X,399326976
X,336874240
X,373047808
X,429063168
X,365510656
X,329006336
X,453151488
X,366985984
X,373408000
X,315872768
X,347156480
X,250715904
X,343574528
X,366634496
X,333469440
X,335037440
X,403982592
X,538656256
X,348973056
X,423838976
X,402539776
X,343541248
X,374494208
X,380844288
X,411035136
X,319572224
X,269418496
X,313109504
X,346844416
X,318813696
X,360283136
X,349753856
X,237792768
X,282363392
X,335124992
X,303593984
X,387549184
X,351286784
X,423049984
X,429361408
X,338823936
X,247680768
X,268312832
X,379275520
X,463116032
X,239787008
X,304904960
X,375336448
X,365447936
X,374519808
X,353496832
X,369628160
X,342203648
X,349987840
X,292105216
X,378783488
X,268745472
X,412572928
X,363820800
X,375686656
X,293743616
X,345432576
X,487415808
X,322955776
X,456339200
X,402821120
X,352082688
X,372033536
X,342870528
X,359909376
X,405122304
X,368788992
X,332290304
X,304152832
X,319928064
X,261999360
X,319497984
X,329868032
X,317612288
X,404570880
X,338188544
X,351923456
X,401285120
X,334962688
X,280983552
X,339146240
X,301056512
X,234892288
X,339943936
X,344366080
X,358594304
X,368401408
X,292105728
X,343629056
X,372969472
X,344526336
X,262078208
X,321581824
X,298036736
X,373390080
X,346024704
X,425686528
X,325205248
X,256766976
X,323416064
X,539433728
X,297053952
X,533785600
X,309908992
X,380218112
X,408452864
X,422013952
X,272542208
X,388073984
X,478867456
X,380928768
X,233820416
X,420544256
X,427578624
X,354036480
X,265333760
X,290317568
X,417168384
X,240917760
X,365052672
X,422508032
X,386745856
X,453573888
X,346143744
X,293335040
X,268803328
X,342969088
X,324404224
X,372707072
X,298093568
X,422375680
X,237942784
X,402093312
X,355149568
X,356775936
X,339770880
X,322609920
X,385035520
X,437048064
X,256770816
X,379446016
X,363755264
X,360079616
X,328649472
X,369219072
X,453530368
X,241836800
X,244274944
X,238993920
X,422721024
X,435542272
X,443511552
X,392887808
X,354922496
X,240068608
X,432601344
X,359852288
X,375235328
X,345092096
X,383595264
X,438762240
X,368668160
X,391470848
X,287213056
X,343938560
X,392913152
X,353840128
X,425020672
X,373488128
X,333917952
X,412165888
X,338110720
X,372263680
X,461321984
X,313820160
X,297710592
X,361173504
X,351171584
X,316917504
X,342200576
X,287060224
X,430911488
X,296375296
X,369976832
X,331182336
X,385303040
X,312594432
X,403493888
X,407727104
X,448733696
X,377710336
X,326158592
X,374777088
X,348871424
X,314875136
X,379600640
X,480359424
X,320376320
X,238652416
X,364059136
X,423482368
X,356259584
X,391986688
X,353646080
X,285822976
X,257998848
X,295468288
X,321508608
X,370690304
X,351393280
X,261961984
X,425343232
X,432331520
X,368722432
X,374632448
X,352132864
X,261744896
X,347071232
X,366294784
X,368935424
X,290546432
X,371382016
X,304161536
X,367481088
X,394812672
X,321812224
X,423473152
X,419253248
X,335902976
X,246875136
X,269916160
X,452974336
X,399390464
X,339910912
X,322293760
X,317948160
X,318974464
X,395397120
X,322626816
X,389655296
X,323358464
X,269748736
X,300202496
X,302202112
X,431212032
X,338773760
X,351687168
X,320410112
X,407305728
X,361746176
X,329050880
X,275494400
X,322670336
X,396774400
X,330568704
X,383992320
X,423429632
X,427173120
X,351661056
X,351278848
X,320785408
X,393199872
X,307894272
X,338386944
X,386165504
X,287970304
X,372241920
X,485504000
X,397972480
X,324964096
X,334127360
X,321280768
X,352911616
X,329061376
X,387843072
X,397960448
X,321228032
X,311364096
X,342961920
X,349088256
X,423984896
X,406680320
X,339203584
X,440265472
X,370872832
X,365536256
X,269139968
X,368882432
X,424525312
X,370841600
X,450050048
X,349229568
X,262686464
X,511234304
X,388679168
X,340812800
X,403988736
X,386921984
X,334012416
X,326358784
X,349437184
X,293307136
X,311329792
X,488637696
X,318538240
X,330252288
X,288497664
X,320856576
X,482928640
X,351878400
X,416655360
X,309980160
X,385011456
X,431248384
X,342954240
X,402602240
X,531788288
X,239863552
X,379067136
X,376402944
X,361007872
X,315006464
X,350453248
X,393077248
X,438397696
X,531052800
X,457072384
X,390355200
X,334968576
X,340693248
X,363937024
X,354142976
X,375750400
X,248833280
X,336935936
X,388810496
X,327552512
X,452864000
X,323616512
X,284932608
X,315636224
X,267969280
X,315827712
X,414113536
X,402456576
X,347338496
X,339832832
X,403646976
X,493754112
X,310588160
X,366948864
X,345078016
X,429088000
X,345583104
X,374751232
X,388141312
X,352585216
X,416805632
X,456318208
X,268718336
X,273611264
X,362566656
X,388823552
X,383896576
X,349128448
X,293284864
X,391020032
X,332326144
X,351925760
X,376048384
X,343753216
X,370908928
X,405783552
X,238592768
X,375454464
X,404082944
X,405042176
X,345904128
X,321422848
X,341782528
X,359193856
X,328956928
X,373028608
X,397016320
X,463370496
X,450514176
X,390719232
X,392264704
X,359824128
X,268836864
X,301977600
X,330876416
X,346005760
X,239795200
X,273805568
X,322563328
X,478312960
X,314686720
X,458922496
X,318477824
X,298869248
X,314242048
X,293281024
X,399230720
X,238759936
X,388965376
X,425730816
X,342865408
X,510985728
X,370254080
X,374662144
X,352256512
X,489670912
X,479558400
X,261575936
X,296171264
X,452179968
X,402713856
X,402944000
X,341181184
X,411481856
X,268954368
X,352767488
X,330825216
X,369978368
X,490402560
X,336171520
X,487530496
X,301766656
X,344064512
X,232568064
X,351572736
X,373993728
X,268801024
X,321886208
X,444111872
X,316232960
X,490423040
X,486163968
X,398556416
X,420817920
X,366281984
X,260449536
X,339358208
X,442912000
X,308153088
X,391997440
X,321146368
X,378795008
X,432784384
X,299260160
X,350042368
X,240810240
X,227696128
X,360241408
X,317449984
X,389870592
X,363972864
X,364893952
X,367273216
X,325503232
X,350896640
X,369815808
X,298258944
X,265873408
X,322506240
X,379437568
X,484222976
X,245755648
X,298037504
X,237925120
X,378725888
X,225820672
X,315092736
X,324271104
X,345270528
X,247686144
X,431192832
X,418582272
X,377554432
X,312083968
X,507180032
X,325593600
X,371549952
X,454681344
X,328546560
X,355713024
X,327892480
X,397507840
X,374944768
X,265036032
X,375226368
X,377566976
X,366201856
X,439231232
X,307111424
X,458730496
X,380119296
X,412709376
X,295147008
X,325730304
X,374349568
X,473310464
X,509403392
X,391835392
X,328617216
X,425096192
X,393307136
X,439389440
X,387519232
X,433665280
X,298058496
X,550304768
X,459432192
X,434392320
X,353836800
X,373807616
X,415127040
X,225899264
X,292036096
X,338846464
X,347032576
X,453673728
X,261897728
X,351978496
X,382908672
X,408494336
X,339962624
X,364090624
X,438866176
X,248847872
X,345938688
X,402418432
X,340301568
X,272618496
X,514245376
X,302279680
X,239867904
X,300641280
X,366047744
X,248791040
X,480801024
X,480808192
X,270466560
X,248787200
X,426788096
X,293598976
X,349720320
X,348695808
X,416039424
X,313969408
X,369706496
X,341874688
X,539657728
X,383637760
X,453801216
X,364345856
X,391497984
X,298092544
X,242008832
