V1,V2
X,5835369728
X,5835884288
X,5789078272
X,5777144320
X,5778521856
X,5775226880
X,5782923008
X,5776393472
X,5772945152
X,5823079424
X,5842622208
X,5823390976
X,5814025216
X,5841670912
X,5871059968
X,5806810112
X,5782454272
X,5856090880
X,5842633216
X,5779279360
X,5780473344
X,5781718016
X,5845031168
X,5818866944
X,5780171264
X,5776397056
X,5832206848
X,5782088704
X,5782237952
X,5784980992
X,5780500736
X,5843962368
X,5852709632
X,5787205120
X,5795245312
X,5786320896
X,5778867968
X,5781049088
X,5776812544
X,5780105472
X,5826140672
X,5816395520
X,5780865536
X,5778689792
X,5801619456
X,5779985152
X,5813793280
X,5834890240
X,5790369280
X,5818226432
X,5792941056
X,5795400192
X,5814233856
X,5823925760
X,5780574720
X,5800763904
X,5785312512
X,5831283712
X,5831666432
X,5784299520
X,5853585664
X,5802475520
X,5814611200
X,5817557248
X,5778439424
X,5780037888
X,5834594048
X,5868744704
X,5779228928
X,5807024128
X,5783146752
X,5830019328
X,5778664448
X,5781606144
X,5833774848
X,5780919040
X,5779767040
X,5782203904
X,5797780224
X,5781739264
X,5788217600
X,5776835840
X,5778561792
X,5790489344
X,5800051712
X,5777473792
X,5773928192
X,5780350720
X,5784526336
X,5789277184
X,5784493824
X,5790610176
X,5816544000
X,5791847680
X,5777477632
X,5794379264
X,5780541952
X,5816764928
X,5790161664
X,5810025728
X,5781043712
X,5776560384
X,5829367296
X,5821487616
X,5793241856
X,5814487808
X,5780889344
X,5805457920
X,5904295680
X,5891166208
X,5776704512
X,5780477440
X,5895693312
X,5814715904
X,5822009856
X,5777952768
X,5844480768
X,5777758208
X,5837430784
X,5836554752
X,5801990400
X,5778044416
X,5833425408
X,5815724288
X,5834569472
X,5840059648
X,5785438720
X,5780139264
X,5818479104
X,5835346944
X,5828788736
X,5800171520
X,5833000448
X,5795221504
X,5846488320
X,5854685952
X,5780478464
X,5777158912
X,5783313920
X,5777622528
X,5828616960
X,5854204160
X,5779310848
X,5849526272
X,5813120000
X,5782208512
X,5791879936
X,5881199104
X,5914085120
X,5810266880
X,5781276928
X,5833212416
X,5810736640
X,5780284672
X,5781719808
X,5780613376
X,5784350464
X,5795578368
X,5780868096
X,5844400640
X,5796364032
X,5831506688
X,5841286400
X,5783130112
X,5782797824
X,5776835840
X,5818807040
X,5777043456
X,5837289216
X,5830144256
X,5817126656
X,5842949888
X,5825461760
X,5830513664
X,5784056576
X,5779148800
X,5832454144
X,5841512192
X,5784076544
X,5840281856
X,5876434176
X,5806198528
X,5834758656
X,5807628288
X,5779466496
X,5776312576
X,5830785792
X,5783860992
X,5783837696
X,5827467520
X,5779606016
X,5779129344
X,5778151936
X,5784495616
X,5826888704
X,5809920768
X,5780640512
X,5777568768
X,5778119936
X,5848285696
X,5833663232
X,5780231680
X,5830968832
X,5776418304
X,5786542848
X,5775374336
X,5778409984
X,5781080576
X,5780033536
X,5779898880
X,5778101248
X,5845934080
X,5786489856
X,5779587328
X,5781159424
X,5841155072
X,5777586688
X,5827275776
X,5808111872
X,5779203584
X,5776215040
X,5813084928
X,5802391552
X,5777604096
X,5778791680
X,5894955776
X,5776377856
X,5791284224
X,5779912192
X,5775016192
X,5779630336
X,5812082944
X,5820078336
X,5844653056
X,5842883072
X,5830178560
X,5778919680
X,5780487424
X,5818557696
X,5778364672
X,5803367936
X,5781899520
X,5775505920
X,5851394560
X,5783713536
X,5788043008
X,5844390656
X,5778137856
X,5779577856
X,5778269952
X,5868050432
X,5818191872
X,5854886656
X,5777740288
X,5836872960
X,5779597312
X,5780697856
X,5852577792
X,5780139008
X,5780853504
X,5825178880
X,5874280960
X,5833021184
X,5836867840
X,5810640384
X,5779628288
X,5851133952
X,5901446144
X,5779791616
X,5780051200
X,5806024704
X,5874565888
X,5811629056
X,5781732096
X,5803759616
X,5830983168
X,5814324992
X,5874099200
X,5818067200
X,5784370432
X,5825584128
X,5864776192
X,5934379008
X,5783558912
X,5839311104
X,5806357248
X,5780517120
X,5781810176
X,5817463296
X,5778328576
X,5821997824
X,5782143232
X,5849477632
X,5783145728
X,5784389888
X,5788812800
X,5779309824
X,5836175616
X,5777982976
X,5796252928
X,5780904448
X,5796002816
X,5817286144
X,5827883776
X,5774344704
X,5806742272
X,5853172480
X,5787302144
X,5838378496
X,5776595456
X,5781734656
X,5780735232
X,5781673216
X,5779358208
X,5870345728
X,5859041280
X,5781703168
X,5777486336
X,5780284160
X,5774539008
X,5778922496
X,5788571392
X,5782299904
X,5780297472
X,5806576128
X,5781780992
X,5803589376
X,5823869952
X,5830012672
X,5790247168
X,5774325760
X,5814731520
X,5782152704
X,5809151232
X,5834800640
X,5794082560
X,5835088640
X,5779611392
X,5790496000
X,5781006336
X,5807939584
X,5828498944
X,5910755072
X,5779368960
X,5778475520
X,5777365504
X,5823224832
X,5769992960
X,5798691584
X,5782258688
X,5806159104
X,5780082432
X,5785662464
X,5868913664
X,5804231680
X,5779540992
X,5780133632
X,5899234048
X,5866865664
X,5825136384
X,5832247552
X,5837042944
X,5777560576
X,5804117248
X,5855353600
X,5786900992
X,5782442240
X,5784366592
X,5781319424
X,5812545792
X,5780983040
X,5775428352
X,5780353536
X,5779921152
X,5790002432
X,5789737216
X,5804773632
X,5798977280
X,5806441728
X,5778521600
X,5834175232
X,5827514624
X,5808571136
X,5807375616
X,5782728704
X,5778958336
X,5782040064
X,5830002944
X,5778848000
X,5784823040
X,5804418816
X,5813884672
X,5781600000
X,5808409088
X,5821259520
X,5813416192
