V1,V2
Y,9521530368
X,9521696000
X,9521334016
X,9522172928
X,9522274048
X,9522515200
Y,9521179392
Y,9521705472
X,9522029056
Y,9522340608
Y,9521365504
Y,9521582592
Y,9521695232
Y,9521446400
X,9520732160
Y,9520740608
X,9520367616
Y,9521620224
Y,9520597248
Y,9520968960
X,9521725952
X,9521550336
Y,9521522688
Y,9521290496
X,9521534208
X,9521564928
X,9521711360
Y,9521454336
X,9522363648
X,9122289664
X,5800230912
X,5799120640
X,5799085568
X,5800177920
Y,5797865728
X,5799780352
X,8058365184
Y,9503235072
X,9504098560
X,9503392256
X,9502991872
Y,9502680832
X,9504488448
Y,9502999040
Y,9503379712
Y,9502374656
X,9503438336
X,9503264000
Y,9502693888
X,9504487680
X,9503965952
X,9503515904
Y,9502844160
X,9502645248
X,9503667200
Y,9504097024
Y,9502786816
Y,9503211520
Y,9502964992
X,9503603456
X,9503607296
Y,9504899072
X,9503152128
X,9502656768
X,9502852352
Y,9504059904
X,9503041792
X,9502735104
X,9503749888
X,9503664384
Y,9502553088
X,9503078144
X,9502481152
X,9502617088
X,9503360000
X,9503447552
X,9502717696
X,9502697728
X,9503283200
Y,9503295232
X,9504825344
X,9503123968
Y,9503794432
X,9503084800
Y,9502437888
X,9503324672
X,9503774208
X,9504452608
X,9503207424
X,9502860032
X,9502872832
Y,9503448320
X,9503240192
X,9503352064
X,9504017664
Y,9503442432
X,9504271616
X,9503227392
Y,9503514368
X,9504131840
X,9503859200
Y,9502977024
Y,9503528960
X,9502924544
Y,9503863040
Y,9503718400
X,9503480064
X,9502951168
X,9503665408
X,9502866944
X,9503171840
Y,9503136768
Y,9503661312
Y,9502689280
X,9502751232
Y,9503011072
X,9503051264
X,9503223040
Y,9504660736
Y,9503107072
X,9503288064
X,9503050496
X,9502557696
Y,9503586560
Y,9503787264
Y,9502678528
X,9502961408
X,9503537152
X,9503708416
Y,9502606336
X,9502828288
X,9504060416
X,9504022528
X,9502864384
X,9503951616
X,9502508032
X,9502714112
Y,9504563968
X,9503062528
X,9502796032
X,9504137216
X,9503172352
X,9503157504
X,9503680256
Y,9503303168
X,9503009280
Y,9503198976
X,9503481344
Y,9503525376
X,9504075008
X,9504809472
X,9502683136
X,9502951936
X,9503690240
Y,9503160832
Y,9504491008
X,9503845888
Y,9502908928
X,9504067584
X,9504159744
Y,9502927360
Y,9503175680
X,9505093888
X,9502679296
Y,9503419648
Y,9503066880
Y,9503349504
Y,9502869504
Y,9503878144
X,9503471104
Y,9502609920
X,9503184128
Y,9503914240
X,9502615808
X,9503210240
X,9525773568
X,9548408576
X,9509040128
Y,9508925184
X,9509076480
X,9509112576
Y,9508906240
X,9509750784
X,9509017856
X,9507990784
X,9509977856
Y,9510156544
X,9509078272
X,9508630784
X,9508860672
X,9508860928
X,9508519424
X,9508228096
Y,9508878592
X,9509240064
X,9509481216
X,9509257728
X,9509262848
Y,9508614656
Y,9509102080
X,9508243712
X,9509090304
Y,9509463552
Y,9508820736
X,9509241600
Y,9508285440
X,9509445120
X,9508699392
Y,9509249024
X,9508678400
X,9508884224
Y,9509708288
X,9509544704
X,9508967168
X,9508983552
X,9509815296
Y,9509161216
X,9508467200
Y,9509366272
Y,9509287680
X,9509130240
X,9508545536
X,9509153280
Y,9509719296
Y,9509514240
X,9508700672
X,9509602816
Y,9547318784
X,9562008064
Y,9561591552
Y,9556912384
X,9555705856
Y,9511731712
Y,9502987264
X,9503336192
X,9503854592
X,9502344448
X,9502709248
X,9503774720
X,9503110912
X,9503872000
X,9503760128
Y,9503582208
X,9503801600
X,9504143104
X,9503358464
X,9503430400
X,9502500352
X,9502688768
X,9503233280
X,9504016384
Y,9502689280
X,9503102976
X,9504619776
X,9502999808
X,9502815744
X,9502929408
X,9504295936
Y,9502795520
X,9502870528
X,9504072192
