V1,V2
X,9540316672
X,9528426752
X,9506936320
X,9550942208
X,9556823296
X,5832772096
X,9506459392
X,9536802560
X,9511960064
X,9561889024
X,9507852800
X,9549138944
X,9504668416
X,9536545792
X,9548818432
X,9505723392
X,9523002880
X,5809295872
X,9528931840
X,9513288192
X,5917565184
X,9533756928
X,9508349440
X,9502209280
X,8390977792
X,9507794688
X,5814406912
X,9569517056
X,9504126976
X,5827791360
X,9513520384
X,9525821184
X,9501857024
X,9509713664
X,5920940800
X,9508014848
X,9546441984
X,9537347584
X,9507162368
X,9506590976
X,9534803200
X,9535570944
X,9503805184
X,9545532672
X,5827439360
X,9506489088
X,9539963392
X,9517948160
X,9528528384
X,9531025408
X,6030248704
X,9522451200
X,9570422528
X,9529046016
X,9529238016
X,5921503744
X,6312353024
X,9572084736
X,9543958272
X,9506923264
X,9546286592
X,9507915008
X,9548085248
X,9509796608
X,9523393792
X,5817686528
X,9537646592
X,9508973568
X,9534019840
X,9536917248
X,7742778112
X,9507003136
X,9503255296
X,9550240512
X,5903031296
X,9509264640
X,9504123648
X,9560814080
X,9549873664
X,9572743936
X,5833911040
X,5799779840
X,9521840896
X,9508869120
X,9512561408
X,9506807552
X,5802883840
X,9566744064
X,9545325568
X,9507635200
X,9566042624
X,9568125696
X,9570861312
X,9506491648
X,9527577600
X,9510356224
X,9512682496
X,7096811520
X,9509176832
X,9568946176
X,9530131712
X,9528516096
X,9502233856
X,9565008640
X,9504954112
X,9535224576
X,5815642624
X,5813971968
X,9507077888
X,9527930112
X,9522016512
X,9506908416
X,9532106752
X,5839518720
X,9509443328
X,9507060736
X,5837714176
X,9524674816
X,9527429632
X,9540501760
X,9509414656
X,9502930688
X,9504852224
X,5822331904
X,9528559104
X,9538996736
X,5919649024
X,5903144960
X,9536166656
X,9507552768
X,9524973824
X,9527108608
X,5834893824
X,9523064320
X,9548619008
X,9540582400
X,9511085824
X,5903108608
X,9506776576
X,9508691712
X,9505146624
X,9517562624
X,9528964352
X,9528546560
X,5821815808
X,9521645824
X,9505197824
X,9505809152
X,9526959104
X,9534537472
X,9538093568
X,9502162432
X,9527747072
X,9508125696
X,9503979264
X,9538276352
X,5813949696
X,9506799872
X,9561517824
X,9501881344
X,9528689408
X,9543694848
X,9506438912
X,5834058496
X,9507820032
X,5812700928
X,9504787456
X,9528954368
X,7928850944
X,9584698368
X,5800977408
X,9528202240
X,9547474688
X,9541404928
X,9507905536
X,9534273536
X,5802104320
X,9537198080
X,5901826304
X,9566829056
X,9542456832
X,9549409024
X,9546017792
X,5800521984
X,9509162496
X,5838139392
X,9509609216
X,5802578432
X,9504297216
X,9537515008
X,9533907200
X,9537908224
X,9525390848
X,9552193792
X,9509080320
X,7873702144
X,9523254272
X,9546613504
X,9535891200
X,9503102720
X,9503009792
X,5835514624
X,9539694336
X,9521638144
X,9503597568
X,9523618560
X,9411776256
X,9522292224
X,9562162176
X,9503432192
X,9523668224
X,5907046400
X,9504612096
X,9535324416
X,9537067776
X,9522931712
X,9503222016
X,9508550912
X,9563246336
X,9513913856
X,9524032256
X,9525228032
X,9508851456
X,5821828352
X,5816216064
X,9548334848
X,9501727488
X,5813754624
X,9510251264
X,5904695808
X,9564629504
X,5812711936
X,9543101952
X,9525833984
X,5829657088
X,9506376448
X,9506102784
X,9537304832
X,9536973056
X,7724809472
X,9571734016
X,9566536704
X,9503996416
X,9546895616
X,9522893568
X,9532668160
X,9506074880
X,9537430784
X,5805013504
X,9512242176
X,5797385728
X,9567919872
X,9539460096
X,9504445952
X,9505714176
X,9534727168
X,9540791296
X,9537384192
X,5797542656
X,9506062080
X,9535610368
X,9513155584
X,9533114624
X,9508108288
X,5801326592
X,9527943168
X,9561231872
X,9511395328
X,9501234176
X,9525823488
X,5919823104
X,9507030272
X,9510137600
X,9504275712
X,9522623488
X,5815808000
X,5917125120
X,9509401344
X,9538033664
X,9536943360
X,5902525184
X,5829071616
X,5800815616
X,9508088576
X,9507960064
X,9508394752
X,5815787008
X,9572670208
X,9548427008
X,5835044608
X,9506476032
X,7380620032
X,9572226816
X,5816968448
X,9506031872
X,9517506560
X,9525455360
X,9512282368
X,9533046784
X,9517369088
X,9566598400
X,5941200128
X,5920515840
X,5813493504
X,9501591808
X,9528533248
X,9546076928
X,9562261504
X,9506769152
X,5801434368
X,5802956032
X,9547858688
X,9547892736
X,9504239104
X,5826087680
X,5816794112
X,5905971712
X,5796933632
X,9543544576
X,9529704704
X,5814719232
X,9547053568
X,9548398080
X,5800681216
X,8757979904
X,9528550912
X,9524790272
X,5804446720
X,9527325952
X,5903688448
X,9534280448
X,9572231680
X,5800004096
X,9566633728
X,9552599296
X,9505499904
X,9506238976
X,9507173120
X,9525864192
X,9528216064
X,9536185856
X,9530591488
X,9540347648
X,9515143424
X,5824482304
X,9545204736
X,5830511616
X,5900347392
X,9504591872
X,9529114880
X,9546351360
X,9565548032
X,9513662720
X,9547792384
X,9530374144
X,9533450496
X,9550546944
X,5828889344
X,9509401344
X,9507641856
X,9506321664
X,5837522176
X,9548334848
X,5824162304
X,9509229056
X,9527139840
X,9506212864
X,5832037888
X,9506101504
X,9509513472
X,9521591296
X,9535515904
X,9521323264
X,9514876416
X,5908084736
X,9507631360
X,9537956096
X,9524227328
X,9537384448
X,9507675392
X,5818602496
X,9532342272
X,9537084672
X,9503879168
X,9509839104
X,9505449472
X,5815863040
X,8692193280
X,9526130432
X,9558147072
X,5839271680
X,9546312704
X,9540682240
X,9506059776
X,9543888128
X,5815083776
X,9528693248
X,9501324544
X,9509840640
X,9506383360
X,9512404736
X,9504386560
X,5910126592
X,6509360640
X,9504812800
X,9505509376
X,9514724608
X,5829775360
X,9509563392
X,9529276672
X,9503865344
X,5824611328
X,9514867712
X,7075643136
X,9543097856
X,9506939648
X,9505915648
X,9567715840
X,9528188416
X,5799086336
X,9514656512
X,9561611264
X,9538428160
X,9507139328
X,5827021568
X,5917918464
X,9546511616
X,9552887808
X,9508691456
X,9506555648
X,9504628480
X,9507404544
X,9507685376
X,5808863232
X,5798958592
X,5799077632
X,9508967936
X,5799327232
X,9528228096
X,9506119680
X,5803713280
X,9565274880
X,9506099456
X,9535537152
X,9513496832
X,9525312000
X,9505324544
X,9508600064
X,9506712576
X,9534247680
X,9543641344
X,9534282240
X,9526796544
X,9514161152
X,9505642752
X,9527129600
X,9529313536
X,9523470336
X,9546736384
X,5799183616
X,5839622400
X,5829552128
X,9503225856
X,9503974400
X,7110932736
X,9528691712
X,9537973248
X,5798512384
X,5930679040
X,9543574528
X,9560562432
X,5799696896
X,9514488320
X,7604163072
X,9539693056
X,9509171968
X,9528123648
X,9528178688
X,9524371712
X,9517870080
X,9554080256
X,6002956544
X,9504387072
X,9503985152
X,9540077312
X,9546282496
X,9507727872
X,9504886528
X,9546339584
X,5904928768
X,5817139968
X,9506214656
X,9540176640
X,9549022464
X,5800134400
X,9549057792
X,9503068160
X,9509582592
X,9546860032
X,5799558144
X,9542922496
X,9534550784
X,5902032128
X,9574967040
X,9521366784
X,5797830912
X,9548567040
X,9506211840
X,9507107840
X,9536951040
X,9573666048
X,9503970816
X,9505635840
X,9505990656
X,9504938752
X,9512711424
X,5796845312
X,9502742784
X,9511252992
X,9513938432
X,7995588864
X,9510842624
X,9508979200
X,9525946880
X,9509067008
X,9508269568
X,8842855680
X,9506157312
X,9509792000
X,9512231680
X,9570510592
X,5830559744
X,5800146176
X,9505789952
X,9537303040
X,9512498688
X,5939197696
X,9526750464
X,9556499968
X,5834576128
X,7224888832
X,6718875904
X,5798105344
X,9537818368
X,5903114240
X,9525392640
X,9514946816
X,9547014912
X,9553024000
X,9527690752
X,9528864256
X,9561514496
X,9508364032
X,9503397120
X,9543788800
X,9507137280
X,9536647680
X,9507482624
X,9546519296
X,9505417984
X,9517076480
X,9505877760
X,9566744576
X,9537386496
X,9559364864
X,9512418304
X,9511595520
X,9505756160
X,9564927744
X,5902606336
X,5802711808
X,5923332608
X,9508306176
X,9554204416
X,9535241216
X,6581259008
