V1,V2
X,9505076992
X,9543325184
X,9540316672
X,9544588032
X,5798636288
X,9539251968
X,5827130368
X,9553341440
X,9563230720
X,9528426752
X,9507516928
X,9505204736
X,5903610624
X,9545014784
X,9504179456
X,5796368384
X,9548579584
X,9504737536
X,9534722048
X,5826503424
X,5796953600
X,9515886848
X,9544027136
X,5833303808
X,5815136256
X,9558699008
X,9542145536
X,5826515200
X,9514290944
X,5798109696
X,9523614720
X,6854715392
X,9512029184
X,5799641344
X,9510990592
X,5941740032
X,9507486208
X,9503003392
X,5829383680
X,9510104832
X,9508459264
X,9549044736
X,5799070976
X,9502776320
X,7321862144
X,5904157184
X,9544426752
X,9526293248
X,9563830272
X,5800781056
X,5935651584
X,9547126528
X,9571376128
X,9566505984
X,9506792192
X,5840701184
X,9569764608
X,9184438528
X,9527131648
X,5796052736
X,9517360384
X,9504992000
X,5835276544
X,5833745920
X,9509595136
X,5795505664
X,9508364800
X,6272841728
X,9525077248
X,5796745472
X,9543462400
X,5820950016
X,5796923904
X,5799170304
X,5841864704
X,9505697024
X,9518496512
X,9515372288
X,9506936320
X,5833209344
X,9559292160
X,9534431744
X,5816903424
X,9507471104
X,9503125504
X,9523462656
X,9547821056
X,9523124736
X,5819082752
X,5799238144
X,9550942208
X,9551224576
X,9508487936
X,5827970304
X,9508760064
X,9518300416
X,9525093632
X,5829438208
X,9508221696
X,5825827328
X,5817326592
X,9556823296
X,5902282752
X,5831077888
X,5823655168
X,5827257088
X,9528674560
X,5823522048
X,5812354304
X,9510985728
X,9510805504
X,9509983232
X,9522024704
X,9529438464
X,9405903616
X,9551747072
X,9543474944
X,5823525888
X,5827090944
X,9509434880
X,9545063936
X,9543610368
X,9516818432
X,9539839488
X,5903234304
X,5832772096
X,9507742208
X,9523299072
X,9505606656
X,5812764672
X,9528189696
X,9506459392
X,9594818560
X,5799974656
X,5909659136
X,9543118336
X,5795822592
X,9570921472
X,9536802560
X,9503615232
X,9506149888
X,5816160512
X,9542366976
X,9543942912
X,9557036800
X,9525668352
X,5815937280
X,9543039232
X,9512184832
X,9537642752
X,9541889024
X,5798193664
X,9554792192
X,9502730240
X,9507922432
X,5823004672
X,9511323904
X,5903456000
