V1,V2
X,181258752
X,176397824
X,180774144
X,189855488
X,174271744
X,112325888
X,181133312
X,183212800
X,203417856
X,213674496
X,223814144
X,202922752
X,211785216
X,377046528
X,361339392
X,325968640
X,371925504
X,165948160
X,377477376
X,389988608
X,220771072
X,208371456
X,217174016
X,447009536
X,388400640
X,457498368
X,388501248
X,355054592
X,368026880
X,380412928
X,338138368
X,378022400
X,348216576
X,540865536
X,538720768
X,606870528
X,509755136
X,368230656
X,484122112
X,381338880
X,454243328
X,355543040
X,260208384
X,465303552
X,330633216
X,219703040
X,332705792
X,500099328
X,519078400
X,500933376
X,523031808
X,240693248
X,472395776
X,434183680
X,468453632
X,504107776
X,472756224
X,385515264
X,534297600
X,311259136
X,346625024
X,394994944
X,326545152
X,568437248
X,304598272
X,571003392
X,291863808
X,334926336
X,381068032
X,444637440
X,289713152
X,538514432
X,282951168
X,507123968
X,723328512
X,437717248
X,383744512
X,476840960
X,501114368
X,434682368
X,330989824
X,548979712
X,506759424
X,309395968
X,241814016
X,487013888
X,527513344
X,505303552
X,343192320
X,506648832
X,325738496
X,286796544
X,322429952
X,691336192
X,388845056
X,539382784
X,516095232
X,520165632
X,655971072
X,216608256
X,318117632
X,299104000
X,523383296
X,471068416
X,503842560
X,454894848
X,543934464
X,574258944
X,466464768
X,654024960
X,246765568
X,354358784
X,444762624
X,463838208
X,556487936
X,215290624
X,633002240
X,485236992
X,411408384
X,456764416
X,308935168
X,620419072
X,555284480
X,314881024
X,336380928
X,584768768
X,582133248
X,486627072
X,456909824
X,575188992
X,349394432
X,220281088
X,294332672
X,527632640
X,469897472
X,735774720
X,567713792
X,600113664
X,306663424
X,436443648
X,532566784
X,547903744
X,410885376
X,627347968
X,213058048
X,335052800
X,352432640
X,383163648
X,614864896
X,306131200
X,359132928
X,335743232
X,289726464
X,337614592
X,378099456
X,530158848
X,570431488
X,304567552
X,700294656
X,589069056
X,538999296
X,330170368
X,280381696
X,549925888
X,258235904
X,318630400
X,307845888
X,579975680
X,622787584
X,414085376
X,390228224
X,505579008
X,476282112
X,495000832
X,577540352
X,501562368
X,596726016
X,600471808
X,415825152
X,359550720
X,599720960
X,378120960
X,517864192
X,652780288
X,333085696
X,453174528
X,533917440
X,346502912
X,541235968
X,374868992
X,383185664
X,552976128
X,426054144
X,537417472
X,336486656
X,606684928
X,408156672
X,675762432
X,596619264
X,344945152
X,584829184
X,432820224
X,767667712
X,470660864
X,656902656
X,548554496
X,804132608
X,333161216
X,830550784
X,486690816
X,296313856
X,363010304
X,732453120
X,381321472
X,434664192
X,365562112
X,267823872
X,544332032
X,665297408
X,505690112
X,471313920
X,301284864
X,355357696
X,221950464
X,372398592
X,635315200
X,285254400
X,687993600
X,516753408
X,346088192
X,621610752
X,256240128
X,355690240
X,672191744
X,692388608
X,465810432
X,287011328
X,759284736
X,706905344
X,767240448
X,392496640
X,362528000
X,624642304
X,296667136
X,673042432
X,317864192
X,602755840
X,362515200
X,579959296
X,534961408
X,609738496
X,479729920
X,659596800
X,778189056
X,549363712
X,625620480
X,696364800
X,732230656
X,588309760
X,298480128
X,613273088
X,598212608
X,344206592
X,507212800
X,298112768
X,634869248
X,292492288
X,658031360
X,617240576
X,635587584
X,579471616
X,539310080
X,316295680
X,547170560
X,501204736
X,538277120
X,648379136
X,339498240
X,390987264
X,617027072
X,611975168
X,429442304
X,548257024
X,693564672
X,514546944
X,407659776
X,341410048
X,545681664
X,732071936
X,702386176
X,605876736
X,356016640
X,545112832
X,580221952
X,346409216
X,431646464
X,778349312
X,626451200
X,791621888
X,542966784
X,480226048
X,430330368
X,337356032
X,708032256
X,413915392
X,493727744
X,587752192
X,545074688
X,701703936
X,335501568
X,783579136
X,410471936
X,766697472
X,565888256
X,557291264
X,658048768
X,358723328
X,384728832
X,772317440
X,503360256
X,389008896
X,547023872
X,566646272
X,700127488
X,801357312
X,538650624
X,725849088
X,752336384
X,500740096
X,428372992
X,517781504
X,539513088
X,424603136
X,456939008
X,318609664
X,497610240
X,430132992
X,655199488
X,747724032
X,465713664
X,432626176
X,844658944
X,388867072
X,353129728
X,823500544
X,451874048
X,895309568
X,663105024
X,632351744
X,358572544
X,708426496
X,633180928
X,622569984
X,654431744
X,622167296
X,381551872
X,698988032
X,547021312
X,685216256
X,710766336
X,635346432
X,360024320
X,448002816
X,317563648
X,710410240
X,349918976
X,564092160
X,543400960
X,351837952
X,699254784
X,712281856
X,526946048
X,302787328
X,544754688
X,757888000
X,595910656
X,681925376
X,625932288
X,363392256
X,624527872
X,563536640
X,640500224
X,574430976
X,646453248
X,378372608
X,582971136
X,336593152
X,434517760
X,413610496
X,712167168
X,325445888
X,446115840
X,354596608
X,412187392
X,580972544
X,418766080
X,664840960
X,738014976
X,426857728
X,757628672
X,562314752
X,469287936
X,594368512
X,554329088
X,697377024
X,717350400
X,560503808
X,577495808
X,293883648
X,439416320
X,437346048
X,552742144
X,582898176
X,674875648
X,477004288
X,623565056
X,624245760
X,614146816
X,587437824
X,722726912
X,499139072
X,782100736
X,591618304
X,348684544
X,536866048
X,382474752
X,620687872
X,438661376
X,627749888
X,617930496
X,629045504
X,588855552
X,318591232
X,693916672
X,705268480
X,379138560
X,610576896
X,497487104
X,368157184
X,614586880
X,627835648
X,711631360
X,536389632
X,417343488
X,410280960
X,406066432
X,283998464
X,645237504
X,717242112
X,573500416
X,439698432
X,389451008
X,464874240
X,652135424
X,452805632
X,695292928
X,530079488
X,589346816
X,379243008
X,711938048
X,422164480
X,517633280
X,655606784
X,339062272
X,855921408
X,745643520
X,798426368
X,668052992
X,535634688
X,629170688
X,733336064
X,661246720
X,362041344
X,906018048
X,586509568
X,620559104
X,540321792
X,453140480
X,471587072
X,781525504
X,387155968
X,323484160
X,504993792
X,540607488
X,369323264
X,825026048
X,562055680
X,663755776
X,635060224
X,842109952
X,664219136
X,553529088
X,588747008
X,342174976
X,355977216
X,386509312
X,550915328
X,560986624
X,418803712
X,369603840
X,443010048
X,875015168
X,625783040
X,587416320
X,553157376
X,615314176
X,702813696
X,701969920
X,602995968
X,341187072
X,572350464
X,588986368
X,443984640
X,728280320
X,709737984
X,716101376
X,570942464
X,335523328
X,643006464
X,682335744
X,415787008
X,719203328
X,669474048
X,690594560
X,703247104
X,662978816
X,491598336
X,501610752
X,603700992
X,522890752
X,538744320
X,626232320
X,589753088
X,413943296
X,340118528
X,469172736
X,697046272
X,358917120
X,626642688
X,584997888
X,417719040
X,661446912
X,589702144
X,491730688
X,676886784
X,339972352
X,343653888
X,661221376
X,382647040
X,374410496
X,598937600
X,705348096
X,551600384
X,697088000
X,363963904
X,748037376
X,626638336
X,403163648
X,262589440
X,713020160
X,754287872
X,674666240
X,671282688
X,508455424
X,619788544
X,537064192
X,705688576
X,580643328
X,365073664
X,398955264
X,790121984
X,681443840
X,449314816
X,389561088
X,283979776
X,405467136
X,673462784
X,622965504
X,375491328
X,890909952
X,449110272
X,434138880
X,571505408
X,694718208
X,850014720
X,342131456
X,549732864
X,338805248
X,701448448
X,431385856
X,667059456
X,748400896
X,617871616
X,547710720
X,439739648
X,536710656
X,351227648
X,666445568
X,412780800
X,704937472
X,752267264
X,824374016
X,423485184
X,615702016
X,781361664
X,508941312
X,423809536
X,511596032
X,541585664
X,318203136
X,702906624
X,713157120
X,560706048
X,775591680
X,704010240
X,699428864
X,704784128
X,481633792
X,628932352
X,663254528
X,482524416
X,705847552
X,598699776
X,590574336
X,728926976
X,612046080
X,527304704
X,366514176
X,555179776
X,668000512
X,653433600
X,506206976
X,549320704
X,517344512
X,703614976
X,570151168
X,248235520
X,417733120
X,702749440
X,656459264
X,499044352
X,675664128
X,656517632
X,618226432
X,741945856
X,632192000
X,566230016
X,409199104
X,466613248
X,749693440
X,506884352
X,587642624
X,344814592
X,681566208
X,436137728
X,583259648
X,475791872
X,699029504
X,369890048
X,662862592
X,624769536
X,679611392
X,635869696
X,379903488
X,224641024
X,549833472
X,509399296
X,701719040
X,272165120
X,746011904
X,495974400
X,475839744
X,356294912
X,445580800
X,889391616
X,741714176
X,365716992
X,616208384
X,314561024
X,676674304
X,310584064
X,701154560
X,234606080
X,473883136
X,585283584
X,694552832
X,668687360
X,694106368
X,324410368
X,580531968
X,712828928
X,579258880
X,436331264
X,721415680
X,599943424
X,761179136
X,469748736
X,674993920
X,678925056
X,393744896
X,579577600
X,863164672
X,633328128
X,384403968
X,716734464
X,449966080
X,410870016
X,444172032
X,631633664
X,411449088
X,471393792
X,590339072
X,596363008
X,318059264
X,413070592
X,490854400
X,500497408
X,701313280
X,713707264
X,821359104
X,717980672
X,649481216
X,692435200
X,447294208
X,659411968
X,661103616
X,306320640
X,375630592
X,507027712
X,474437632
X,380812800
X,419892736
X,578957312
X,679851776
X,696668672
X,591698432
X,700314368
X,676082688
X,740926720
X,620681984
X,360961536
X,653792000
X,444987648
X,610554880
X,583751680
X,539278336
X,606816256
X,576899584
X,665983232
X,387102208
X,373985024
X,389598976
X,507165184
X,408542208
X,794856960
X,757080064
X,617145344
X,585396480
X,584857856
X,435014912
X,623341568
X,776226304
X,583750912
X,693285888
X,422657280
X,386355968
X,379269888
X,830163200
X,447690752
X,641002240
X,604185600
X,395385600
X,379285760
X,365562368
X,594392320
X,404887040
X,638009088
X,970886144
X,670314752
X,582726400
X,789436416
X,644810240
X,816984576
X,539868416
X,542831360
X,583202816
X,628425216
X,554662400
X,766137856
X,370052608
X,680017152
X,758782976
X,493301504
X,279256320
X,585218816
X,435484928
X,669240576
X,372203008
X,655313920
X,529936896
X,662525184
X,386179840
X,687252224
X,601191936
X,382558720
X,558008064
X,587648000
X,486804480
