V1,V2
X,175864064
X,112373504
X,182481408
X,181258752
X,181549568
X,182836992
X,182492928
X,174434816
X,176442880
X,181021952
X,175619584
X,173741568
X,176117504
X,175682560
X,173708288
X,180907008
X,173714688
X,108884480
X,175728384
X,252472576
X,175701760
X,181505280
X,180910080
X,176194560
X,151437312
X,181387776
X,176397824
X,183119872
X,175579392
X,180774144
X,175457536
X,189855488
X,107881216
X,180841216
X,181296128
X,176717568
X,112273408
X,114576128
X,173762304
X,182497280
X,174705408
X,108748288
X,175363328
X,182017024
X,154443264
X,182270208
X,174271744
X,181418496
X,175741696
X,173783040
X,182101760
X,113224704
X,255489280
X,174105088
X,107926784
X,175458816
X,112525056
X,181122816
X,108921344
X,181169664
X,112325888
X,108820992
X,181133312
X,183212800
X,217628416
X,319562752
X,328105472
X,318831104
X,264323328
X,323667968
X,322921472
X,203417856
X,354175488
X,199339008
X,224911872
X,319603200
X,199214592
X,355330560
X,259297024
X,327042816
X,326110720
X,198518528
X,224826880
X,325523968
X,319264256
X,370390016
X,362893056
X,326221824
X,181449472
X,372425984
X,339901440
X,370686208
X,197757696
X,372502784
X,338333440
X,361397504
X,363736576
X,361830144
X,333374208
X,319141632
X,223783936
X,209335296
X,362514944
X,203642368
X,377230080
X,335287040
X,362432256
X,367942656
X,335426304
X,376353280
X,213674496
X,372293888
X,344344064
X,326973184
X,367849472
X,338756352
X,207775232
X,338198016
X,354515200
X,371808768
X,233535744
X,362218496
X,498887936
X,373031936
X,231421184
X,223959808
X,371260672
X,213645824
X,189346304
X,525773056
X,372097536
X,337384960
X,266545152
X,198009088
X,377894400
X,337964800
X,339971840
X,499678976
X,370441216
X,361286400
X,372275968
X,223814144
X,202922752
X,211785216
X,362593280
X,371350784
X,361065984
X,377046528
X,379226112
X,372178688
X,460665088
X,329345792
X,344282368
X,363081472
X,326163456
X,333999872
X,326817536
X,385278720
X,257473280
X,237360128
X,377548032
X,284436224
X,334037760
X,198376704
X,361339392
X,362502144
X,344964608
X,449711360
X,208282624
X,179744000
X,202293504
X,378028800
X,325968640
X,336185600
X,202125824
X,362971392
X,336115200
X,208631808
X,335667200
X,457468928
X,279944448
X,340697344
X,373820928
X,341447936
X,490301184
X,206677760
X,303574272
X,361890816
X,344841216
X,334963456
X,371925504
X,213799168
X,216090880
X,266999808
X,361408768
X,373021184
X,326329088
X,449415936
X,356011264
X,220837632
X,279219456
X,220305408
X,455337472
X,378272256
X,488544512
X,459808512
X,370672384
X,165948160
X,372830208
X,234963200
X,201954560
X,335698432
X,372309760
X,373395456
X,277492224
X,367958272
X,461315328
X,376228096
X,344370176
X,282248704
X,384040704
X,333808640
X,374200320
X,452534784
X,396625152
X,378311680
X,343816704
X,333747968
X,446879744
X,448093696
X,377477376
X,387362560
X,233462784
X,370628096
X,343081472
X,382101248
X,368707072
X,208294400
X,460413440
X,263843072
X,244147200
X,441246976
X,333735168
X,390080512
X,214815232
X,460280832
X,228204544
X,285179648
X,242424320
X,344919040
X,347881728
X,206589184
X,242418944
X,241320960
X,348495872
X,224939264
X,498123776
X,230058752
X,329253632
X,349538560
X,282428672
X,274200064
X,391299840
X,240864256
X,348373248
X,264445440
X,261821184
X,449146880
X,237059328
X,274093312
X,462244608
X,334643456
X,268856320
X,309543168
X,263412736
